image_id,n_grooves,n_corridors,primitive_before_sam,primitive_after_sam,main_groups,main_fragments,discontinuous_main_groups,wart_instances,sam_image_error
8582_01,4,5,84,84,6,70,6,14,
8769_01,5,6,120,120,8,112,7,8,
8884_01,6,7,124,124,11,112,10,12,
8964_01,4,5,100,100,7,88,7,12,
8993_01,5,6,106,106,7,90,7,16,
DC3_01,6,7,133,133,11,114,9,19,
Draco_01,5,6,120,120,8,112,7,8,
TVI8573_01,6,7,131,131,10,115,9,16,
TVI8711_01,5,6,115,115,6,114,6,1,
TVI8909_01,5,6,111,111,6,102,6,9,
VIN005_01,5,6,106,106,10,101,8,5,
